"Freq [GHz]","dB(S(1,1)) []"
5.0,-0.15942292858235393
5.01,-0.16548580347210265
5.02,-0.17191660571301473
5.03,-0.1787460936919971
5.04,-0.18600831181772912
5.05,-0.19374101968303067
5.06,-0.20198618776888524
5.07,-0.21079057168445772
5.08,-0.22020637941122406
5.09,-0.23029204906963524
5.1,-0.24111315850375464
5.11,-0.2527434926768758
5.12,-0.26526630073988156
5.13,-0.2787757820011679
5.14,-0.293378849319793
5.15,-0.30919723022576623
5.16,-0.32636998108882864
5.17,-0.34505650890366335
5.18,-0.36544022006721183
5.19,-0.3877329476898197
5.2,-0.4121803509462501
5.21,-0.4390685350706335
5.22,-0.4687322134222491
5.23,-0.5015648299606382
5.24,-0.5380311903530595
5.25,-0.5786833252883471
5.26,-0.6241805480823319
5.27,-0.6753149955704154
5.28,-0.7330443928363038
5.29,-0.798534410901582
5.3,-0.8732138682064473
5.31,-0.9588472725877708
5.32,-1.0576309728249593
5.33,-1.1723217245784996
5.34,-1.3064101179185155
5.35,-1.4643565513238848
5.36,-1.6519149409233758
5.37,-1.8765799756150807
5.38,-2.1482083549566457
5.39,-2.4798834104194682
5.4,-2.889113762192954
5.41,-3.3994705686731685
5.42,-4.04274297875529
5.43,-4.861535320024122
5.44,-5.911682591320638
5.45,-7.262199810632782
5.46,-8.985716071399711
5.47,-11.11945748937808
5.48,-13.548732588672001
5.49,-15.759627787303485
5.5,-16.721555167478726
5.51,-15.768428758572199
5.52,-13.562390808025494
5.53,-11.134963354309486
5.54,-9.001910466906567
5.55,-7.2788294058580005
5.5600000000000005,-5.928802191122387
5.57,-4.879279908898906
5.58,-4.061253913697966
5.59,-3.418875178815934
5.6,-2.9095222231015443
5.61,-2.5013907013569483
5.62,-2.1708972939949365
5.63,-1.9005240958723397
5.64,-1.677180900508148
5.65,-1.4910060686927422
5.66,-1.3345015071452213
5.67,-1.2019111157244817
5.68,-1.0887732917874735
5.69,-0.9915970398596884
5.7,-0.9076258623981982
5.71,-0.8346642319503518
5.72,-0.7709489514748495
5.73,-0.7150529493903567
5.74,-0.6658126999211332
5.75,-0.6222729962881205
5.76,-0.583644577567507
5.77,-0.5492713565888517
5.78,-0.518604878453086
5.79,-0.4911842682045884
5.8,-0.46662037803399803
5.8100000000000005,-0.44458317152395793
5.82,-0.42479162114107805
5.83,-0.4070055706767695
5.84,-0.3910191443513651
5.85,-0.37665538132095855
5.86,-0.3637618472554327
5.87,-0.3522070298578161
5.88,-0.3418773672648057
5.89,-0.33267479054539006
5.9,-0.32451468644258663
5.91,-0.31732420588326926
5.92,-0.31104085894891725
5.93,-0.3056113489543101
5.94,-0.3009906077724451
5.95,-0.2971410021419221
5.96,-0.2940316868322149
5.97,-0.2916380855580347
5.98,-0.28994148468744585
5.99,-0.2889287282856202
6.0,-0.28859200604263835
6.01,-0.2889287282856202
6.02,-0.28994148468744585
6.03,-0.2916380855580347
6.04,-0.2940316868322149
6.05,-0.2971410021419221
6.0600000000000005,-0.3009906077724451
6.07,-0.3056113489543101
6.08,-0.31104085894891725
6.09,-0.31732420588326926
6.1,-0.32451468644258663
6.11,-0.33267479054539006
6.12,-0.3418773672648057
6.13,-0.3522070298578161
6.140000000000001,-0.3637618472554327
6.15,-0.37665538132095855
6.16,-0.3910191443513651
6.17,-0.4070055706767695
6.18,-0.42479162114107805
6.1899999999999995,-0.44458317152395793
6.2,-0.46662037803399803
6.21,-0.4911842682045884
6.22,-0.518604878453086
6.23,-0.5492713565888517
6.24,-0.583644577567507
6.25,-0.6222729962881205
6.26,-0.6658126999211332
6.27,-0.7150529493903567
6.28,-0.7709489514748495
6.29,-0.8346642319503518
6.3,-0.9076258623981982
6.3100000000000005,-0.9915970398596972
6.32,-1.0887732917874735
6.33,-1.2019111157244817
6.34,-1.3345015071452213
6.35,-1.4910060686927422
6.36,-1.677180900508148
6.37,-1.9005240958723397
6.38,-2.1708972939949365
6.390000000000001,-2.5013907013569803
6.4,-2.9095222231015443
6.41,-3.418875178815934
6.42,-4.061253913697968
6.43,-4.879279908898906
6.4399999999999995,-5.928802191122387
6.45,-7.278829405858001
6.46,-9.001910466906565
6.47,-11.134963354309486
6.48,-13.562390808025494
6.49,-15.768428758572199
6.5,-16.721555167478726
6.51,-15.759627787303486
6.52,-13.548732588672001
6.53,-11.11945748937808
6.54,-8.985716071399711
6.55,-7.262199810632781
6.5600000000000005,-5.911682591320531
6.57,-4.861535320024122
6.58,-4.04274297875529
6.59,-3.3994705686731685
6.6,-2.889113762192954
6.61,-2.4798834104194682
6.62,-2.1482083549566457
6.63,-1.8765799756150807
6.640000000000001,-1.6519149409233582
6.65,-1.4643565513238848
6.66,-1.3064101179185155
6.67,-1.1723217245784996
6.68,-1.0576309728249593
6.6899999999999995,-0.9588472725877795
6.7,-0.8732138682064473
6.71,-0.798534410901582
6.72,-0.7330443928363038
6.73,-0.6753149955704154
6.74,-0.6241805480823319
6.75,-0.5786833252883471
6.76,-0.5380311903530595
6.77,-0.5015648299606382
6.78,-0.4687322134222491
6.79,-0.4390685350706335
6.8,-0.4121803509462501
6.8100000000000005,-0.3877329476898177
6.82,-0.36544022006721183
6.83,-0.34505650890366335
6.84,-0.32636998108882864
6.85,-0.30919723022576623
6.86,-0.293378849319793
6.87,-0.2787757820011679
6.88,-0.26526630073988156
6.890000000000001,-0.2527434926768748
6.9,-0.24111315850375464
6.91,-0.23029204906963524
6.92,-0.22020637941122406
6.93,-0.21079057168445772
6.9399999999999995,-0.20198618776888524
6.95,-0.19374101968303067
6.96,-0.18600831181772912
6.97,-0.1787460936919971
6.98,-0.17191660571301473
6.99,-0.16548580347210265
7.0,-0.15942292858235393
