"Freq [GHz]","dB(S(1,1)) []"
5.0,-0.03947817518368711
5.01,-0.040277606633726815
5.02,-0.04110154647535785
5.03,-0.041951005910810316
5.04,-0.042827048787058696
5.05,-0.043730794916070626
5.06,-0.04466342364170066
5.07,-0.045626177674378744
5.08,-0.0466203672167969
5.09,-0.04764737440607508
5.1,-0.04870865810043228
5.11,-0.049805759041199715
5.12,-0.0509403054241572
5.13,-0.05211401891767109
5.14,-0.05332872116900256
5.15,-0.054586340844513415
5.16,-0.055888921254380844
5.17,-0.05723862861786376
5.18,-0.058637761031283986
5.19,-0.06008875820775444
5.2,-0.06159421206539339
5.21,-0.06315687824942473
5.22,-0.06477968868338739
5.23,-0.06646576525567217
5.24,-0.06821843476012447
5.25,-0.07004124522354675
5.26,-0.07193798376898819
5.27,-0.07391269618185192
5.28,-0.07596970836660244
5.29,-0.07811364990535662
5.3,-0.08034947995660172
5.31,-0.08268251576299797
5.32,-0.085118464072445
5.33,-0.08766345581701175
5.34,-0.09032408444075628
5.35,-0.09310744832096668
5.36,-0.09602119778906229
5.37,-0.09907358732880357
5.38,-0.10227353361213402
5.39,-0.10563068012906146
5.4,-0.10915546927974387
5.41,-0.11285922292737437
5.42,-0.11675423256291631
5.43,-0.12085386041145013
5.44,-0.1251726530199006
5.45,-0.12972646911327607
5.46,-0.13453262379875833
5.47,-0.13961005154306486
5.48,-0.14497949075955988
5.49,-0.15066369333129404
5.5,-0.15668766298121709
5.51,-0.1630789271020659
5.52,-0.16986784750168707
5.53,-0.17708797653681246
5.54,-0.18477646633992137
5.55,-0.19297454034012357
5.5600000000000005,-0.20172803810368328
5.57,-0.2110880467535549
5.58,-0.22111163497263736
5.59,-0.23186270898355665
5.6,-0.2434130140971601
5.61,-0.2558433106499942
5.62,-0.2692447596900608
5.63,-0.2837205619883884
5.64,-0.299387904334265
5.65,-0.31638028025203
5.66,-0.33485026910287474
5.67,-0.3549728791365727
5.68,-0.37694958795443745
5.69,-0.40101325009254996
5.7,-0.42743408883507183
5.71,-0.45652705176766206
5.72,-0.48866089229858667
5.73,-0.5242694498214143
5.74,-0.5638657497767545
5.75,-0.608059746330915
5.76,-0.6575808057721664
5.77,-0.7133064083385745
5.78,-0.7762990740577856
5.79,-0.8478542587980957
5.8,-0.9295630154111647
5.8100000000000005,-1.0233947135910146
5.82,-1.1318072740828662
5.83,-1.2578955204023743
5.84,-1.4055928738624588
5.85,-1.5799484611773393
5.86,-1.787511902215983
5.87,-2.0368733080967227
5.88,-2.3394288694272665
5.89,-2.710476405082219
5.9,-3.170794874564864
5.91,-3.748931260672339
5.92,-4.484505676135589
5.93,-5.432924359575402
5.94,-6.671842972821448
5.95,-8.309097200810715
5.96,-10.488811120861456
5.97,-13.379137298425768
5.98,-17.06574111680445
5.99,-21.05132556225907
6.0,-23.09803919971487
6.01,-21.05132556225907
6.02,-17.06574111680445
6.03,-13.379137298425768
6.04,-10.488811120861456
6.05,-8.309097200810715
6.0600000000000005,-6.671842972821321
6.07,-5.432924359575402
6.08,-4.484505676135589
6.09,-3.748931260672339
6.1,-3.170794874564864
6.11,-2.710476405082219
6.12,-2.3394288694272665
6.13,-2.0368733080967227
6.140000000000001,-1.7875119022159631
6.15,-1.5799484611773393
6.16,-1.4055928738624588
6.17,-1.2578955204023743
6.18,-1.1318072740828662
6.1899999999999995,-1.0233947135910146
6.2,-0.9295630154111647
6.21,-0.8478542587980957
6.22,-0.7762990740577856
6.23,-0.7133064083385745
6.24,-0.6575808057721664
6.25,-0.608059746330915
6.26,-0.5638657497767545
6.27,-0.5242694498214143
6.28,-0.48866089229858667
6.29,-0.45652705176766206
6.3,-0.42743408883507183
6.3100000000000005,-0.4010132500925479
6.32,-0.37694958795443745
6.33,-0.3549728791365727
6.34,-0.33485026910287474
6.35,-0.31638028025203
6.36,-0.299387904334265
6.37,-0.2837205619883884
6.38,-0.2692447596900608
6.390000000000001,-0.2558433106499923
6.4,-0.2434130140971601
6.41,-0.23186270898355665
6.42,-0.22111163497263736
6.43,-0.2110880467535549
6.4399999999999995,-0.20172803810368328
6.45,-0.19297454034012357
6.46,-0.18477646633992137
6.47,-0.17708797653681246
6.48,-0.16986784750168707
6.49,-0.1630789271020659
6.5,-0.15668766298121709
6.51,-0.15066369333129404
6.52,-0.14497949075955988
6.53,-0.13961005154306486
6.54,-0.13453262379875833
6.55,-0.12972646911327607
6.5600000000000005,-0.12517265301989963
6.57,-0.12085386041145013
6.58,-0.11675423256291631
6.59,-0.11285922292737437
6.6,-0.10915546927974387
6.61,-0.10563068012906146
6.62,-0.10227353361213402
6.63,-0.09907358732880357
6.640000000000001,-0.09602119778906229
6.65,-0.09310744832096668
6.66,-0.09032408444075628
6.67,-0.08766345581701175
6.68,-0.085118464072445
6.6899999999999995,-0.08268251576299797
6.7,-0.08034947995660172
6.71,-0.07811364990535662
6.72,-0.07596970836660244
6.73,-0.07391269618185192
6.74,-0.07193798376898819
6.75,-0.07004124522354675
6.76,-0.06821843476012447
6.77,-0.06646576525567217
6.78,-0.06477968868338739
6.79,-0.06315687824942473
6.8,-0.06159421206539339
6.8100000000000005,-0.06008875820775444
6.82,-0.058637761031283986
6.83,-0.05723862861786376
6.84,-0.055888921254380844
6.85,-0.054586340844513415
6.86,-0.05332872116900256
6.87,-0.05211401891767109
6.88,-0.0509403054241572
6.890000000000001,-0.049805759041199715
6.9,-0.04870865810043228
6.91,-0.04764737440607508
6.92,-0.0466203672167969
6.93,-0.045626177674378744
6.9399999999999995,-0.04466342364170066
6.95,-0.043730794916070626
6.96,-0.042827048787058696
6.97,-0.041951005910810316
6.98,-0.04110154647535785
6.99,-0.040277606633726815
7.0,-0.03947817518368711
