"Freq [GHz]","dB(S(1,1)) []"
5.0,-0.6051397042677067
5.01,-0.6513047239087811
5.02,-0.703148184367798
5.03,-0.7616334500261122
5.04,-0.8279330913196197
5.05,-0.903484461102128
5.06,-0.9900627488146263
5.07,-1.0898778415722965
5.08,-1.205703887867739
5.09,-1.3410541511725258
5.1,-1.5004190585856447
5.11,-1.6895929871445188
5.12,-1.916126180139671
5.13,-2.1899532106261135
5.14,-2.5242690888574955
5.15,-2.9367466822065147
5.16,-3.451205518230234
5.17,-4.099821912065654
5.18,-4.925823620473259
5.19,-5.986082700532408
5.2,-7.351386375135726
5.21,-9.09740772551175
5.22,-11.266256893650475
5.23,-13.748632855435098
5.24,-16.025372534838663
5.25,-17.027181314165556
5.26,-16.049447373850874
5.27,-13.785743270446247
5.28,-11.308163076146553
5.29,-9.141037657937222
5.3,-7.39612332745181
5.31,-6.032123177387291
5.32,-4.973567999379774
5.33,-4.149682371215453
5.34,-3.50355532573355
5.35,-2.9919141781982566
5.36,-2.582544362314235
5.37,-2.2515971819112477
5.38,-1.9813790201599315
5.39,-1.7586811810716874
5.4,-1.5735611646703098
5.41,-1.4184654969020947
5.42,-1.2876004590691006
5.43,-1.1764795834586337
5.44,-1.0815964544070682
5.45,-1.000186384827111
5.46,-0.9300513964622682
5.47,-0.8694305774248343
5.48,-0.8169032148234838
5.49,-0.7713157968751029
5.5,-0.7317265493933746
5.51,-0.6973629667204837
5.52,-0.6675890584302695
5.53,-0.6418799255583454
5.54,-0.6198019164749982
5.55,-0.6009970700302246
5.5600000000000005,-0.5851708853867416
5.57,-0.5720827007780575
5.58,-0.5615381429098721
5.59,-0.5533832428732031
5.6,-0.5474999160352376
5.61,-0.5438025815914211
5.62,-0.5422357589809709
5.63,-0.5427725281555227
5.64,-0.5454137825476327
5.65,-0.5501882405474413
5.66,-0.5571532159325574
5.67,-0.5663961823621669
5.68,-0.5780372040979034
5.69,-0.5922323471308114
5.7,-0.6091782349261764
5.71,-0.6291179748720905
5.72,-0.6523487602380567
