"Freq [GHz]","dB(S(1,1)) []"
5,-0.312053777399425
5.01,-0.317358565051398
5.02,-0.322855818920452
5.03,-0.328556129259303
5.04,-0.334470875921205
5.05,-0.340612299464336
5.06,-0.346993579750289
5.07,-0.353628922941187
5.08,-0.360533657922988
5.09,-0.367724343323894
5.1,-0.375218886460096
5.11,-0.383036675729492
5.12,-0.391198728192092
5.13,-0.399727854328628
5.14,-0.408648842262517
5.15,-0.417988664071853
5.16,-0.427776707216417
5.17,-0.438045034569703
5.18,-0.448828677090407
5.19,-0.4601659638061
5.2,-0.472098894531822
5.21,-0.484673561629556
5.22,-0.497940628156504
5.23,-0.511955870982075
5.24,-0.526780798913501
5.25,-0.542483357603077
5.26,-0.559138735072894
5.27,-0.576830284152378
5.28,-0.595650581063164
5.29,-0.615702642905882
5.3,-0.637101331027281
5.31,-0.659974972325702
5.32,-0.684467236673054
5.33,-0.710739316019861
5.34,-0.738972459685751
5.35,-0.769370931162583
5.36,-0.80216546489203
5.37,-0.837617317436239
5.38,-0.876023026867811
5.39,-0.917720017827017
5.4,-0.963093218456086
5.41,-1.01258289043596
5.42,-1.06669391594963
5.43,-1.12600683714045
5.44,-1.19119100633341
5.45,-1.2630202809765
5.46,-1.3423917881418
5.47,-1.43034839173407
5.48,-1.52810562328267
5.49,-1.63708398562881
5.5,-1.75894770773831
5.51,-1.89565121519527
5.52,-2.04949477652401
5.53,-2.22319097344413
5.54,-2.41994379142194
5.55,-2.6435421766284
5.56,-2.89846974865109
5.57,-3.19003179149624
5.58,-3.52449926793944
5.59,-3.90926658397708
5.6,-4.3530133629437
5.61,-4.86584646736418
5.62,-5.45936731276
5.63,-6.14653813977946
5.64,-6.94105376150355
5.65,-7.85552942102725
5.66,-8.89689057766143
5.67,-10.0553503405074
5.68,-11.2801345271252
5.69,-12.4360726410027
5.7,-13.2676534835777
5.71,-13.4847813961329
5.72,-13.0156127757826
5.73,-12.0867635458141
5.74,-10.9886367795117
5.75,-9.90440363173015
5.76,-8.91297370555582
5.77,-8.03671100376483
5.78,-7.27368990828011
5.79,-6.61321340086861
5.8,-6.04240475074293
5.81,-5.5487971213769
5.82,-5.12123077893047
5.83,-4.75005640439024
5.84,-4.42706717345323
5.85,-4.14533750238052
5.86,-3.89904234481996
5.87,-3.68328635680045
5.88,-3.49395307107899
5.89,-3.32757606822141
5.9,-3.18123082850126
5.91,-3.05244479030087
5.92,-2.93912291833915
5.93,-2.83948625110901
5.94,-2.75202120237674
5.95,-2.67543772487477
5.96,-2.60863475786099
5.97,-2.55067165641074
5.98,-2.50074453532296
5.99,-2.45816665657164
6,-2.4223521508611
6.01,-2.39280249615826
6.02,-2.36909528397003
6.03,-2.3508748919573
6.04,-2.33784475295341
6.05,-2.32976096869533
6.06,-2.32642706414866
6.07,-2.32768971731298
6.08,-2.33343533154279
6.09,-2.34358734410209
6.1,-2.35810418702164
6.11,-2.37697783527381
6.12,-2.40023289358555
6.13,-2.42792618751353
6.14,-2.46014683724782
6.15,-2.49701680446407
6.16,-2.53869191382952
6.17,-2.58536336188063
6.18,-2.63725973731246
6.19,-2.69464958864506
6.2,-2.75784458818155
6.21,-2.8272033556194
6.22,-2.90313602117208
6.23,-2.98610962726869
6.24,-3.07665449064702
6.25,-3.17537167398107
6.26,-3.28294174942571
6.27,-3.40013507736519
6.28,-3.52782387452785
6.29,-3.66699640956057
6.3,-3.81877374530521
6.31,-3.98442955104351
6.32,-4.16541364262216
6.33,-4.36338008428477
6.34,-4.58022091788348
6.35,-4.81810689306961
6.36,-5.07953698349162
6.37,-5.3673990255588
6.38,-5.68504455476336
6.39,-6.03638189447848
6.4,-6.42599282290866
6.41,-6.85927970747653
6.42,-7.3426516879119
6.43,-7.88375965637811
6.44,-8.49178841953429
6.45,-9.17780483978764
6.46,-9.95512710717804
6.47,-10.8395783184671
6.48,-11.8491914030593
6.49,-13.0020798644943
6.5,-14.3087579495357
6.51,-15.7487043547161
6.52,-17.2083681197293
6.53,-18.3680959101776
6.54,-18.70825327471
6.55,-17.9917450069836
6.56,-16.5995033749652
6.57,-15.022891851268
6.58,-13.5152729924154
6.59,-12.1562793436337
6.6,-10.9547556712823
6.61,-9.89732258132308
6.62,-8.96587867551896
6.63,-8.14314677711563
6.64,-7.41409480492509
6.65,-6.76602203730218
6.66,-6.18826821049923
6.67,-5.67186324254093
6.68,-5.20921363166061
6.69,-4.79384596889306
6.7,-4.42020390669783
6.71,-4.08348886346054
6.72,-3.77953469469118
6.73,-3.50470820903435
6.74,-3.25582925383144
6.75,-3.03010568024976
6.76,-2.82507973337938
6.77,-2.63858333239569
6.78,-2.46870037447487
6.79,-2.31373467636792
6.8,-2.1721825108898
6.81,-2.04270894135572
6.82,-1.92412733399032
6.83,-1.81538155713109
6.84,-1.71553047112769
6.85,-1.62373438427149
6.86,-1.53924320482813
6.87,-1.46138606206514
6.88,-1.38956220335059
6.89,-1.32323300220134
6.9,-1.26191493514896
6.91,-1.20517340456014
6.92,-1.15261730087801
6.93,-1.10389421170539
6.94,-1.05868619715136
6.95,-1.01670606122943
6.96,-0.977694058078624
6.97,-0.941414979580741
6.98,-0.907655577731923
6.99,-0.876222281032369
7,-0.846939169301932
