"Freq [GHz]","dB(S(1,1)) []"
5.0,-1.0545847222293414
5.01,-1.0341669276223535
5.02,-1.0179879455862966
5.03,-1.025239597044104
5.04,-1.0424988180984216
5.05,-1.0720600740704453
5.06,-1.1053831255112527
5.07,-1.1277909160380057
5.08,-1.155179690094431
5.09,-1.185243270628374
5.1,-1.2175856473780686
5.11,-1.2450810804698689
5.12,-1.2584124253016271
5.13,-1.2825241254497455
5.14,-1.30893837700512
5.15,-1.3400499846402294
5.16,-1.3889151739201393
5.17,-1.4620053214425526
5.18,-1.5314712273521256
5.19,-1.603696411353289
5.2,-1.676075119273802
5.21,-1.7137466003530593
5.22,-1.7619004386520098
5.23,-1.8576350479345585
5.24,-1.9843331130366795
5.25,-2.11561966229614
5.26,-2.2449526244167752
5.27,-2.4047451784605682
5.28,-2.6068332943239745
5.29,-2.8392668384516924
5.3,-3.0979307057232717
5.31,-3.3746909426761995
5.32,-3.6877034808713947
5.33,-4.06415046938686
5.34,-4.464832842267319
5.35,-4.898747774012327
5.36,-5.399739363089813
5.37,-5.992301578839549
5.38,-6.700552518319484
5.39,-7.513902777700676
5.4,-8.426024245648717
5.41,-9.450574335161694
5.42,-10.598621841110717
5.43,-11.915699474687383
5.44,-13.387912371697189
5.45,-14.95982109141093
5.46,-16.56838429514813
5.47,-18.09910640277467
5.48,-19.404587364812823
5.49,-20.323905936668087
5.5,-20.6623008082116
5.51,-20.34912662882989
5.52,-19.461269131971665
5.53,-18.157675514337257
5.54,-16.62717701870709
5.55,-15.031752395238595
5.5600000000000005,-13.48643199230159
5.57,-12.04213834288833
5.58,-10.718038292108929
5.59,-9.556644306491783
5.6,-8.565480606463751
5.61,-7.6963445752854
5.62,-6.926095818087558
5.63,-6.254123086911309
5.64,-5.651762332588301
5.65,-5.105310802095973
5.66,-4.653489393716408
5.67,-4.278435597969771
5.68,-3.942827392083975
5.69,-3.6509074298337585
5.7,-3.3916554462744624
5.71,-3.153983144435668
5.72,-2.9430909008226687
5.73,-2.7693088057911024
5.74,-2.6490944064227593
5.75,-2.5753435145957053
5.76,-2.5055186777480465
5.77,-2.4306301832077475
5.78,-2.376511171280973
5.79,-2.3438706051541334
5.8,-2.303954276203572
5.8100000000000005,-2.255910804023722
5.82,-2.2429977567452406
5.83,-2.2809640968703753
5.84,-2.330312070266812
5.85,-2.376809873750125
5.86,-2.429643264460006
5.87,-2.483567973394695
5.88,-2.55109390521706
5.89,-2.6428941670836026
5.9,-2.7599903066985956
5.91,-2.9159600923777447
5.92,-3.103061909494017
5.93,-3.314955446512057
5.94,-3.569296337203407
5.95,-3.8842011555729226
5.96,-4.23453625493643
5.97,-4.613478099950879
5.98,-5.0360388532871
5.99,-5.544744683733459
6.0,-6.144868995328121
6.01,-6.833588482277034
6.02,-7.653948991822335
6.03,-8.592781020002619
6.04,-9.633421603196346
6.05,-10.81671732206287
6.0600000000000005,-12.160850604783533
6.07,-13.657995236132654
6.08,-15.293800195708311
6.09,-16.971788738367874
6.1,-18.550762052172157
6.11,-19.815366003053278
6.12,-20.51851074124071
6.13,-20.52143293524206
6.140000000000001,-19.806495116972695
6.15,-18.54993593272297
6.16,-16.997946533033385
6.17,-15.312475751979274
6.18,-13.633142468719623
6.19,-12.083661133991663
6.2,-10.709740582492865
6.21,-9.488030255092275
6.22,-8.409296489785069
6.23,-7.482088136507404
6.24,-6.679199696088827
6.25,-5.9698121214159725
6.26,-5.345162867827607
6.27,-4.789015595721966
6.28,-4.309879099698135
6.29,-3.9214805729214537
6.3,-3.572440055386564
6.3100000000000005,-3.249181006562465
6.32,-2.972371578674223
6.33,-2.729276864481216
6.34,-2.5311808913420557
6.35,-2.3528720369110894
6.36,-2.1780539523088716
6.37,-2.0276091835713705
6.38,-1.9174724969255095
6.390000000000001,-1.8355968809415173
6.4,-1.7513875802585321
6.41,-1.6630846136064166
6.42,-1.591399368447522
6.43,-1.5270875991350379
6.44,-1.4513835264140467
6.45,-1.3823425945883394
6.46,-1.3274525903958017
6.47,-1.2798332341359462
6.48,-1.255028486121945
6.49,-1.2397324139715784
6.5,-1.2206026408019106
6.51,-1.2045611288106208
6.52,-1.1792611893609342
6.53,-1.1461355600907854
6.54,-1.125819698636116
6.55,-1.1020923615971223
6.5600000000000005,-1.0683062622154242
6.57,-1.0367663174078228
6.58,-1.0214706215144405
6.59,-1.0308843731963049
6.6,-1.040740878858236
6.61,-1.0223610196492001
6.62,-0.9942764376438894
6.63,-0.9587398153631869
6.640000000000001,-0.9221107072480538
6.65,-0.9067175416759192
6.66,-0.9088387126569195
6.67,-0.9202946649964601
6.68,-0.9278443634362111
6.69,-0.9071964860700688
6.7,-0.8885832610095775
6.71,-0.8863335772425908
6.72,-0.8770099632406761
6.73,-0.8589771668636145
6.74,-0.8341194055298825
6.75,-0.8255110465789322
6.76,-0.8270515245781603
6.77,-0.815068862911586
6.78,-0.8021570328323008
6.79,-0.7961753577320428
6.8,-0.8118521315792587
6.8100000000000005,-0.8220843164062643
6.82,-0.8282149756995444
6.83,-0.8491480177966744
6.84,-0.8595283418645343
6.85,-0.832439112668334
6.86,-0.7993866699410141
6.87,-0.7940691091178329
6.88,-0.7827801047040813
6.890000000000001,-0.7579188449670283
6.9,-0.750768539581877
6.91,-0.7539111546269858
6.92,-0.766618155983435
6.93,-0.7845787442810078
6.94,-0.783230001064271
6.95,-0.7787258814500908
6.96,-0.7877857200115489
6.97,-0.7947754183567078
6.98,-0.7979138271174835
6.99,-0.8138184448884671
7.0,-0.8200842074390456
