"Freq [GHz]","dB(S(1,1)) []"
5.0,-0.7453629702589417
5.01,-0.7156052119135373
5.02,-0.6863349821745428
5.03,-0.6789016518754233
5.04,-0.6803872628771943
5.05,-0.6930356415594985
5.06,-0.7081881999160263
5.07,-0.7110332380685854
5.08,-0.7173133478686469
5.09,-0.7245464728955647
5.1,-0.7321346783982031
5.11,-0.7327197207157295
5.12,-0.7167159862873411
5.13,-0.7087570877430643
5.14,-0.700004435416804
5.15,-0.6924330919278043
5.16,-0.6986099336257103
5.17,-0.7244348134897474
5.18,-0.741390062141474
5.19,-0.7550765101317428
5.2,-0.7619714290847573
5.21,-0.7261396999596834
5.22,-0.6915128197637842
5.23,-0.6937178212445675
5.24,-0.7144200627144607
5.25,-0.7252460353208171
5.26,-0.7173368633464291
5.27,-0.7204330167420199
5.28,-0.7433051622012407
5.29,-0.7705111224712309
5.3,-0.7939865255792418
5.31,-0.8011638298368335
5.32,-0.8052543285432127
5.33,-0.8279507974635127
5.34,-0.823966506184216
5.35,-0.7955208697908362
5.36,-0.768839625035731
5.37,-0.7597353651973283
5.38,-0.7823004147705395
5.39,-0.8143069769778088
5.4,-0.8361051495922496
5.41,-0.8468483211523307
5.42,-0.843655241354722
5.43,-0.8626588216975579
5.44,-0.8926495513006094
5.45,-0.9049159786125137
5.46,-0.902380770085644
5.47,-0.8883137640131238
5.48,-0.8830308420056806
5.49,-0.9143814177731835
5.5,-0.9415330502719268
5.51,-0.9537794501979953
5.52,-0.968169410838311
5.53,-0.9898252523748282
5.54,-1.0189153495729346
5.55,-1.049816147415146
5.5600000000000005,-1.0799142472964267
5.57,-1.0943003420702235
5.58,-1.0855587061075795
5.59,-1.0936782800807139
5.6,-1.1357649679331492
5.61,-1.1777723883229712
5.62,-1.2112996484571734
5.63,-1.2493279162812232
5.64,-1.275144216876297
5.65,-1.2854344581321564
5.66,-1.3280236182776861
5.67,-1.3931613713123128
5.68,-1.450881639682242
5.69,-1.5121927331858704
5.7,-1.572359428234001
5.71,-1.6261718946552306
5.72,-1.6843592743572153
5.73,-1.7624832802461616
5.74,-1.8819912190105446
5.75,-2.040587215415912
5.76,-2.2004255312313825
5.77,-2.3571583299391707
5.78,-2.5412761208890777
5.79,-2.758221259229461
5.8,-2.9841020719426075
5.8100000000000005,-3.22310372449556
5.82,-3.5237331883558207
5.83,-3.9072413497835856
5.84,-4.339938037466194
5.85,-4.813789628570813
5.86,-5.344707996142508
5.87,-5.934906222732017
5.88,-6.605339745336309
5.89,-7.376354755338375
5.9,-8.259912141108591
5.91,-9.281260183916947
5.92,-10.44328822660094
5.93,-11.745216511847875
5.94,-13.197620070390156
5.95,-14.786894768261575
5.96,-16.416296507159007
5.97,-17.954849791227037
5.98,-19.24258654995415
5.99,-20.12490822263878
6.0,-20.443415363898573
