"Freq [GHz]","dB(S(1,1)) []"
5,-0.249377615989096
5.01,-0.2544587600001
5.02,-0.259803014418127
5.03,-0.265430771749344
5.04,-0.271364533458699
5.05,-0.277629176747413
5.06,-0.284252261167619
5.07,-0.291264381933473
5.08,-0.298699578127615
5.09,-0.306595805634054
5.1,-0.314995486624972
5.11,-0.323946149878943
5.12,-0.333501179226345
5.13,-0.343720691149932
5.14,-0.354672567201871
5.15,-0.366433672673649
5.16,-0.379091300183344
5.17,-0.392744885929988
5.18,-0.407508057834333
5.19,-0.423511089329456
5.2,-0.440903851092544
5.21,-0.459859376721954
5.22,-0.480578188856977
5.23,-0.503293571639554
5.24,-0.528278026578463
5.25,-0.555851215631472
5.26,-0.586389782846976
5.27,-0.620339561217074
5.28,-0.658230824017201
5.29,-0.700697442812541
5.3,-0.748501085167556
5.31,-0.802561947957375
5.32,-0.86399800970556
5.33,-0.934175441637745
5.34,-1.01477370102372
5.35,-1.1078700192141
5.36,-1.21604958937082
5.37,-1.34254987581067
5.38,-1.49145024351176
5.39,-1.66792166977265
5.4,-1.87855571262261
5.41,-2.131797047044
5.42,-2.43850916944607
5.43,-2.81270673626776
5.44,-3.27248649207441
5.45,-3.84117154811557
5.46,-4.54862071269283
5.47,-5.43244518547642
5.48,-6.5381517942748
5.49,-7.91458187306177
5.5,-9.59103781045718
5.51,-11.4883057022345
5.52,-13.1617348406792
5.53,-13.6432415925187
5.54,-12.5945003885633
5.55,-10.9119140994844
5.56,-9.29639688420897
5.57,-7.94166275694543
5.58,-6.84751232396039
5.59,-5.97069458335015
5.6,-5.26664262468984
5.61,-4.6983388854097
5.62,-4.2367976286851
5.63,-3.85972264219432
5.64,-3.55002148512881
5.65,-3.29455993017851
5.66,-3.08319685204728
5.67,-2.90805711922642
5.68,-2.76298906780191
5.69,-2.64316041223844
5.7,-2.54475667196602
5.71,-2.46475524980537
5.72,-2.40075540674662
5.73,-2.35084969948223
5.74,-2.3135263502948
5.75,-2.28759485712521
5.76,-2.27212921067544
5.77,-2.26642458123462
5.78,-2.2699644288944
5.79,-2.2823957913207
5.8,-2.30351109538198
5.81,-2.33323528157243
5.82,-2.37161736563118
5.83,-2.41882582064172
5.84,-2.47514736752665
5.85,-2.54098892875597
5.86,-2.61688264173974
5.87,-2.70349395447756
5.88,-2.80163294442788
5.89,-2.91226911889889
5.9,-3.03655007753051
5.91,-3.17582455028175
5.92,-3.33167047324145
5.93,-3.50592893472561
5.94,-3.70074501963887
5.95,-3.91861680195883
5.96,-4.1624539763297
5.97,-4.43564785349368
5.98,-4.74215459900078
5.99,-5.08659349676457
6,-5.47436126566913
6.01,-5.91176112802922
6.02,-6.4061393234864
6.03,-6.96600725863785
6.04,-7.60109327797759
6.05,-8.32218778452609
6.06,-9.14045674962171
6.07,-10.0654558868969
6.08,-11.1000646368514
6.09,-12.2284586320074
6.1,-13.3902714081429
6.11,-14.4373521211576
6.12,-15.1082765754718
6.13,-15.136665230923
6.14,-14.4947800233269
6.15,-13.4252657710495
6.16,-12.2049431000943
6.17,-11.0026483139816
6.18,-9.89126308388448
6.19,-8.89246895830041
6.2,-8.00576461882576
6.21,-7.22236120055323
6.22,-6.531127654421
6.23,-5.92097031385095
6.24,-5.38169909430007
6.25,-4.90426943323029
6.26,-4.48077629170212
6.27,-4.10435803541723
6.28,-3.76907542954271
6.29,-3.46979172838734
6.3,-3.20206326455173
6.31,-2.96204306229688
6.32,-2.74639726909444
6.33,-2.55223322773258
6.34,-2.37703776669697
6.35,-2.21862432562917
6.36,-2.07508766867418
6.37,-1.94476509568182
6.38,-1.82620321106718
6.39,-1.71812944374433
6.4,-1.61942762762172
6.41,-1.52911705201757
6.42,-1.44633447702736
6.43,-1.37031868232456
6.44,-1.30039718083782
6.45,-1.2359747827029
6.46,-1.17652374109397
6.47,-1.12157525106832
6.48,-1.07071210633885
6.49,-1.02356234771912
6.5,-0.979793761564328
6.51,-0.939109107462943
6.52,-0.901241972244762
6.53,-0.865953162516282
6.54,-0.833027560807749
6.55,-0.8022713813555
6.56,-0.773509770839374
6.57,-0.746584707295665
6.58,-0.721353157143065
6.59,-0.697685455973141
6.6,-0.675463883619886
6.61,-0.654581408165851
6.62,-0.634940577074133
6.63,-0.616452536649777
6.64,-0.599036163608929
6.65,-0.582617294736675
6.66,-0.567128042500071
6.67,-0.552506186099771
6.68,-0.538694628831643
6.69,-0.525640913822836
6.7,-0.513296791233569
6.71,-0.501617830901356
6.72,-0.490563075168038
6.73,-0.480094727290685
6.74,-0.470177871408752
6.75,-0.460780220535474
6.76,-0.451871889471517
6.77,-0.44342518991256
6.78,-0.435414445348133
6.79,-0.427815823632412
6.8,-0.420607185355472
6.81,-0.413767946359693
6.82,-0.407278952935722
6.83,-0.40112236839815
6.84,-0.395281569886964
6.85,-0.38974105436887
6.86,-0.384486352925261
6.87,-0.379503952512925
6.88,-0.374781224471214
6.89,-0.37030635912681
6.9,-0.366068305915663
6.91,-0.362056718502351
6.92,-0.358261904430818
6.93,-0.354674778888248
6.94,-0.351286822206187
6.95,-0.348090040760853
6.96,-0.345076930968105
6.97,-0.342240446098657
6.98,-0.339573965665766
6.99,-0.337071267161747
7,-0.334726499940852
