"Freq [GHz]","dB(S(1,1)) []"
5,-0.358897886876323
5.01,-0.364390634285968
5.02,-0.370046022200979
5.03,-0.375868883889642
5.04,-0.381864330361526
5.05,-0.38803776646919
5.06,-0.394394908091885
5.07,-0.400941800485265
5.08,-0.407684837888435
5.09,-0.414630784487618
5.1,-0.42178679684448
5.11,-0.429160447906684
5.12,-0.436759752728816
5.13,-0.444593196043313
5.14,-0.452669761833726
5.15,-0.460998965076613
5.16,-0.469590885833671
5.17,-0.478456205892599
5.18,-0.487606248173907
5.19,-0.497053019141204
5.2,-0.506809254475368
5.21,-0.516888468297852
5.22,-0.527305006256067
5.23,-0.538074102814342
5.24,-0.549211943127671
5.25,-0.560735729912997
5.26,-0.572663755774162
5.27,-0.585015481482615
5.28,-0.597811620766997
5.29,-0.611074232221328
5.3,-0.624826819004439
5.31,-0.639094437073187
5.32,-0.653903812769828
5.33,-0.669283470670513
5.34,-0.685263872698376
5.35,-0.701877569612138
5.36,-0.719159366101201
5.37,-0.737146500852019
5.38,-0.755878843099936
5.39,-0.775399107347866
5.4,-0.795753088119723
5.41,-0.816989916825533
5.42,-0.839162343048814
5.43,-0.862327042828553
5.44,-0.886544956801349
5.45,-0.911881661397849
5.46,-0.938407776656027
5.47,-0.966199414627136
5.48,-0.99533867281374
5.49,-1.02591417759976
5.5,-1.05802168321674
5.51,-1.09176473244684
5.52,-1.12725538600026
5.53,-1.16461502833341
5.54,-1.20397525860556
5.55,-1.24547887651867
5.56,-1.28928097396365
5.57,-1.33555014472181
5.58,-1.38446982596366
5.59,-1.43623978697001
5.6,-1.49107778239899
5.61,-1.54922138956765
5.62,-1.61093005164516
5.63,-1.6764873514095
5.64,-1.74620354335525
5.65,-1.82041837552441
5.66,-1.89950423654839
5.67,-1.98386966814888
5.68,-2.07396328888931
5.69,-2.17027818148852
5.7,-2.27335680375691
5.71,-2.38379649253885
5.72,-2.50225564141271
5.73,-2.62946064695931
5.74,-2.76621373605046
5.75,-2.91340180906328
5.76,-3.07200646289821
5.77,-3.24311539552757
5.78,-3.42793544379426
5.79,-3.62780757283617
5.8,-3.84422422507006
5.81,-4.07884955773886
5.82,-4.33354326245424
5.83,-4.61038888420442
5.84,-4.91172786314068
5.85,-5.2402009401759
5.86,-5.59879913717422
5.87,-5.99092729643016
5.88,-6.42048420617615
5.89,-6.89196471740803
5.9,-7.41059101712594
5.91,-7.98248230060126
5.92,-8.6148740722062
5.93,-9.31639880212852
5.94,-10.0974345187993
5.95,-10.9705052866826
5.96,-11.9506438138926
5.97,-13.0554049758713
5.98,-14.3035667485539
5.99,-15.7096448595738
6,-17.2659596765686
6.01,-18.8914862814759
6.02,-20.3207000974425
6.03,-21.0336204471015
6.04,-20.641613447031
6.05,-19.4210915379869
6.06,-17.9168705271244
6.07,-16.4462682001174
6.08,-15.1157422752126
6.09,-13.9413967085954
6.1,-12.9106214016446
6.11,-12.004463190222
6.12,-11.2046636021827
6.13,-10.4954633694315
6.14,-9.86373678680344
6.15,-9.29865726244861
6.16,-8.79128658621537
6.17,-8.33420552809157
6.18,-7.92121121913314
6.19,-7.54707770937601
6.2,-7.20736872702332
6.21,-6.89829142120177
6.22,-6.6165816354179
6.23,-6.35941328779718
6.24,-6.12432619836195
6.25,-5.90916809953322
6.26,-5.71204762694023
6.27,-5.53129587962124
6.28,-5.36543472594027
6.29,-5.21315046662833
6.3,-5.07327178958318
6.31,-4.94475119236349
6.32,-4.82664922957188
6.33,-4.71812107944682
6.34,-4.61840502851069
6.35,-4.52681255343518
6.36,-4.44271974149757
6.37,-4.3655598395843
6.38,-4.29481675994753
6.39,-4.23001940127269
6.4,-4.17073666788967
6.41,-4.11657308951699
6.42,-4.06716495980016
6.43,-4.02217692487049
6.44,-3.98129896381149
6.45,-3.94424371173609
6.46,-3.91074408350905
6.47,-3.88055116227429
6.48,-3.85343232208741
6.49,-3.82916955828382
6.5,-3.80755800287066
6.51,-3.78840460532926
6.52,-3.77152696184201
6.53,-3.75675227818725
6.54,-3.74391645343806
6.55,-3.73286327320222
6.56,-3.72344370249471
6.57,-3.71551526947184
6.58,-3.70894153220778
6.59,-3.70359162148347
6.6,-3.69933985320566
6.61,-3.69606540459888
6.62,-3.69365204873229
6.63,-3.69198794227068
6.64,-3.69096546158984
6.65,-3.6904810825828
6.66,-3.69043529961822
6.67,-3.69073257920746
6.68,-3.69128134400356
6.69,-3.69199398280479
6.7,-3.69278688227764
6.71,-3.69358047615967
6.72,-3.69429930775893
6.73,-3.69487210164357
6.74,-3.69523184051814
6.75,-3.69531584341848
6.76,-3.69506584152884
6.77,-3.69442804813578
6.78,-3.69335321948409
6.79,-3.69179670359065
6.8,-3.68971847439941
6.81,-3.68708314902153
6.82,-3.68385998619329
6.83,-3.68002286449456
6.84,-3.67555023929441
6.85,-3.67042507782022
6.86,-3.66463477217265
6.87,-3.65817103052434
6.88,-3.6510297471345
6.89,-3.64321085217861
6.9,-3.6347181427246
6.91,-3.62555909647791
6.92,-3.6157446701643
6.93,-3.60528908461627
6.94,-3.59420959877642
6.95,-3.58252627492754
6.96,-3.57026173750575
6.97,-3.55744092785298
6.98,-3.54409085721988
6.99,-3.53024036024627
7,-3.51591985102698
